,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21,mean
0,88.11188,66.36719,41.15532,59.11234,46.33851,50.391956,67.18259,68.8596,66.76179,17.606209,50.42974,37.19997,57.373703,46.58679,60.315403,75.050354,38.479797,53.301136,35.440197,45.9394,0.0,51.047806
1,87.88773,65.94395,33.24542,58.620808,44.181347,49.00858,69.368706,63.209347,65.64653,15.59621,45.63019,35.667423,57.149696,45.350964,60.600754,73.74033,33.834007,57.720245,31.108463,50.164448,0.0,49.69882
2,88.13376,65.73723,32.33653,69.174774,51.33741,54.086998,77.8023,72.00959,75.442406,17.269617,53.779697,45.76199,63.24111,55.271603,67.91602,73.730034,39.3376,68.24439,37.38902,52.01702,0.0,55.239002
